GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,491807,2417855,google.com,com,1,1,492576,2421325
2,2,facebook.com,com,490973,2571539,facebook.com,com,2,2,491403,2574851
3,3,youtube.com,com,442432,2081746,youtube.com,com,3,3,442958,2085052
4,4,twitter.com,com,435964,2067749,twitter.com,com,4,4,436375,2070243
5,5,instagram.com,com,374200,1725940,instagram.com,com,5,5,374300,1727332
6,6,linkedin.com,com,350545,1445874,linkedin.com,com,6,6,350892,1448214
7,7,apple.com,com,282414,910247,apple.com,com,7,7,283327,912004
8,8,microsoft.com,com,280250,830696,microsoft.com,com,8,8,280837,831796
9,1,wikipedia.org,org,270386,964932,wikipedia.org,org,9,1,270858,966599
10,9,googletagmanager.com,com,259622,886399,googletagmanager.com,com,10,9,260191,887137
11,2,wordpress.org,org,258235,1098122,wordpress.org,org,11,2,258347,1098198
12,1,youtu.be,be,236715,786766,youtu.be,be,12,1,237367,788552
13,3,en.wikipedia.org,org,226158,722975,en.wikipedia.org,org,13,3,226504,723890
14,10,pinterest.com,com,220894,866262,pinterest.com,com,14,10,221299,866826
15,11,play.google.com,com,215568,608584,play.google.com,com,15,11,216171,609812
16,12,github.com,com,209359,530193,github.com,com,16,12,209819,531617
17,13,vimeo.com,com,207822,724928,vimeo.com,com,17,13,208247,726348
18,14,maps.google.com,com,202739,706591,maps.google.com,com,18,14,203063,707395
19,1,goo.gl,gl,199320,646171,goo.gl,gl,19,1,199819,647114
20,15,plus.google.com,com,198395,710497,plus.google.com,com,20,15,198742,711459
21,1,bit.ly,ly,189414,569179,bit.ly,ly,21,1,189908,570394
22,16,adobe.com,com,184832,510605,adobe.com,com,22,16,185095,511177
23,17,docs.google.com,com,183962,537249,docs.google.com,com,23,17,184282,538153
24,18,wordpress.com,com,181528,574126,wordpress.com,com,24,18,181809,575234
25,19,blogspot.com,com,173834,538997,blogspot.com,com,25,19,174079,540019
26,20,amazon.com,com,172899,513453,amazon.com,com,26,20,173344,514502
27,21,player.vimeo.com,com,171049,559857,player.vimeo.com,com,27,21,171478,560999
28,22,itunes.apple.com,com,166877,419661,itunes.apple.com,com,28,22,167723,420908
29,4,mozilla.org,org,161976,450586,mozilla.org,org,29,4,160339,446178
30,23,macromedia.com,com,157705,452139,macromedia.com,com,30,23,158107,453248
31,24,apps.apple.com,com,156443,373351,apps.apple.com,com,31,24,156890,373917
32,25,drive.google.com,com,152909,417989,drive.google.com,com,32,25,153125,418106
33,26,yahoo.com,com,147123,384404,yahoo.com,com,33,26,147563,385416
34,27,whatsapp.com,com,147080,510647,whatsapp.com,com,34,27,147072,510625
35,28,tumblr.com,com,139753,442749,tumblr.com,com,35,28,139895,443338
36,1,europa.eu,eu,139099,443239,europa.eu,eu,36,1,139686,444296
37,29,api.whatsapp.com,com,130858,446907,api.whatsapp.com,com,37,29,130772,446793
38,30,flickr.com,com,126674,354202,flickr.com,com,38,30,127063,354948
39,31,reddit.com,com,125969,379683,reddit.com,com,39,31,126138,379924
40,32,qq.com,com,125349,768447,qq.com,com,40,32,125451,768864
41,33,gravatar.com,com,124553,441396,gravatar.com,com,41,33,124462,441551
42,1,nih.gov,gov,123708,324737,nih.gov,gov,42,1,124043,325374
43,34,policies.google.com,com,120416,389866,policies.google.com,com,44,35,120242,389214
44,35,nytimes.com,com,120305,322281,nytimes.com,com,43,34,120558,322748
45,36,amazonaws.com,com,119622,269758,amazonaws.com,com,45,36,119905,269988
46,5,apache.org,org,118747,226636,apache.org,org,46,5,118834,226748
47,1,github.io,io,117043,253463,github.io,io,48,1,117230,254217
48,37,sites.google.com,com,117034,283861,sites.google.com,com,47,37,117335,284271
49,38,soundcloud.com,com,113352,325010,soundcloud.com,com,49,38,113710,325701
50,1,miit.gov.cn,cn,112125,865755,miit.gov.cn,cn,51,1,111878,865882
51,1,t.co,co,111641,317377,t.co,co,50,1,111991,317955
52,39,medium.com,com,111558,277918,medium.com,com,52,39,111777,278115
53,6,w3.org,org,111137,234784,w3.org,org,53,6,111387,234994
54,40,support.apple.com,com,110734,306133,support.apple.com,com,-1,-1,-1,-1
55,41,forbes.com,com,110587,280568,forbes.com,com,54,40,110848,280913
56,1,forms.gle,gle,109538,268404,forms.gle,gle,56,1,109706,268681
57,42,baidu.com,com,107932,569355,baidu.com,com,57,41,107859,569725
58,1,zoom.us,us,107181,253063,zoom.us,us,60,1,107038,251773
59,43,spotify.com,com,106973,296195,spotify.com,com,59,43,107233,296326
60,2,beian.miit.gov.cn,cn,106749,780717,beian.miit.gov.cn,cn,61,2,106440,780635
61,44,cloudflare.com,com,106716,305057,cloudflare.com,com,62,44,105813,301952
62,1,t.me,me,104774,316291,t.me,me,63,1,104794,316076
63,2,www.ncbi.nlm.nih.gov,gov,104521,261917,www.ncbi.nlm.nih.gov,gov,64,2,104682,262092
64,7,archive.org,org,103934,261477,archive.org,org,65,7,104204,261874
65,45,theguardian.com,com,103481,268242,theguardian.com,com,66,45,103753,268896
66,8,creativecommons.org,org,102478,234527,creativecommons.org,org,67,8,102848,234944
67,1,sourceforge.net,net,101623,203358,sourceforge.net,net,68,1,101829,203899
68,46,cnn.com,com,100142,251356,cnn.com,com,69,46,100318,251606
69,2,wa.me,me,100084,316635,wa.me,me,70,2,99982,316277
70,47,open.spotify.com,com,97791,265989,open.spotify.com,com,-1,-1,-1,-1
71,48,dropbox.com,com,97629,229626,dropbox.com,com,71,47,97776,229967
72,1,who.int,int,96725,221578,who.int,int,72,1,97056,221951
73,49,wixsite.com,com,96214,236939,wixsite.com,com,73,48,96504,237432
74,50,office.com,com,95334,217528,office.com,com,74,49,95687,217997
75,51,paypal.com,com,94526,260384,paypal.com,com,77,51,94748,260943
76,1,bbc.co.uk,uk,94504,237038,bbc.co.uk,uk,76,1,94845,237676
