"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","youtube.com","22,676,948","100"
"2","www.blogger.com","30,146,883","100"
"3","www.google.com","14,476,594","100"
"4","microsoft.com","5,223,693","99"
"5","play.google.com","3,842,574","99"
"6","support.google.com","5,460,143","99"
"7","apple.com","6,509,268","99"
"8","linkedin.com","12,011,424","99"
"9","en.wikipedia.org","6,982,928","98"
"10","docs.google.com","3,318,576","98"
"11","maps.google.com","5,886,457","98"
"12","youtu.be","5,166,401","98"
"13","cloudflare.com","6,517,880","98"
"14","mozilla.org","2,415,904","98"
"15","wordpress.org","11,976,120","98"
"16","europa.eu","2,256,404","97"
"17","sites.google.com","2,232,443","97"
"18","adobe.com","2,858,709","97"
"19","googleusercontent.com","3,440,384","97"
"20","plus.google.com","11,054,254","97"
"21","bp.blogspot.com","17,909,763","97"
"22","drive.google.com","2,445,020","97"
"23","whatsapp.com","3,772,360","97"
"24","accounts.google.com","2,535,066","97"
"25","istockphoto.com","3,626,403","96"
"26","t.me","1,260,699","96"
"27","vk.com","1,790,163","96"
"28","github.com","2,876,714","96"
"29","uol.com.br","686,913","96"
"30","policies.google.com","2,784,517","96"
"31","amazon.com","4,968,214","96"
"32","vimeo.com","3,548,715","96"
"33","facebook.com","58,752,377","96"
"34","dropbox.com","1,103,888","95"
"35","search.google.com","1,516,584","95"
"36","w3.org","1,130,900","95"
"37","terra.com.br","200,450","95"
"38","bbc.co.uk","1,739,248","95"
"39","gstatic.com","629,380","95"
"40","shopify.com","2,609,570","95"
"41","www.yahoo.com","1,356,285","95"
"42","theguardian.com","1,584,155","95"
"43","google.de","1,118,134","95"
"44","nytimes.com","2,190,118","95"
"45","jimdofree.com","1,716,019","95"
"46","paypal.com","1,139,754","95"
"47","live.com","975,731","95"
"48","gravatar.com","12,391,158","95"
"49","files.wordpress.com","7,653,758","95"
"50","nih.gov","1,470,408","95"
"51","www.weebly.com","5,318,103","95"
"52","wikimedia.org","2,053,465","95"
"53","creativecommons.org","1,735,101","95"
"54","globo.com","455,742","95"
"55","opera.com","958,872","95"
"56","cpanel.net","1,797,400","95"
"57","google.co.jp","656,707","95"
"58","who.int","2,017,283","95"
"59","youronlinechoices.com","578,404","95"
"60","slideshare.net","1,005,752","95"
"61","news.google.com","812,684","95"
"62","brandbucket.com","11,131,161","95"
"63","issuu.com","1,001,301","95"
"64","line.me","913,046","95"
"65","imdb.com","1,522,863","95"
"66","medium.com","1,761,281","95"
"67","enable-javascript.com","9,476,238","95"
"68","bbc.com","911,202","95"
"69","google.es","477,904","95"
"70","developers.google.com","1,120,034","95"
